What is your gender?,Other,How old are you?,Do you live in London?,How would you describe your ethnicity?,Other,Do you consider yourself to have a disability?,Are you a care experienced person?,Did you hear that the government is planning to cut free travel for under-18s in London?,Do you approve or disapprove the decision to cut free travel for under-18s in London?,How important is free transport in London for you?,How many buses / tubes / trams do you currently take to get to school or college?,How do you get to school or college?,Other,"If you have to pay for transport, will it change how you get to school or college?","If you have to pay for transport, how are you planning to get to school or college?",Other,"If you lose free travel, would this change the college or school you are considering attending?","Please describe what free transport means to you in a word, or words?","“If I lose free travel, I won’t travel out of my area as much unless I have to”","“If I lose free travel, I am worried getting to school/around London is less safe”","“If I lose free travel, I will cycle instead to the places I want to go”","“If I lose free travel, I can still afford to go to the places I want to go to”","“If I lose free travel, I am worried my parents will struggle to make ends meet”","“If I lose free travel, my mental health with suffer”",Museums ,Art galleries,Shopping centres,Parks and green spaces ,Areas outside your local borough or area,Sports clubs,Friends and family ,"Where else would you visit less than you do now, if you had to pay for travel?"
Female,,16,Yes,White British,,No,Yes,No,Dissaprove,4,One,,car,No,,,No,,4,3,3,3,3,2,4,3,5,5,5,5,5,not sure
Male,,16,Yes,Black or Black British - Black African,,No,No,Yes,Dissaprove,5,One,Bus,,Yes,Walk,,No,Independence,5,5,1,4,1,1,1,1,2,3,5,1,5,Library and Cadets
Female,,16,Yes,White British,,No,No,Yes,Dissaprove,5,Two,Train,,Yes,Bus,,Yes,It gives me the freedom to have to rely on my parents to drive me to places or to have to give me money to travel where I need to go throughout the day,4,5,1,2,3,3,1,1,3,5,1,1,3,Travling into London
Male,,16,Yes,Asian or Asian British – Pakistani,,No,Yes,No,Dissaprove,5,One,Bus,,Yes,Walk,,Yes,My life,5,5,3,4,5,2,1,1,4,3,3,2,5,
Female,,18,Yes,Any other White background,,No,No,Yes,Dissaprove,5,Two,Train,,Yes,Bus,,Yes,"Free transport is very important to me. I have to take a train and a bus to get to school so if the zip ouster is cut it will considerably increase the amount of money I have to pay for travel. I, like many other young people in London, simply can not afford this extra expense!!",5,5,2,1,5,5,1,1,2,1,1,1,1,I wouldn’t be able to get to the library to do my revision
Female,,16,Yes,Asian or Asian British - Any other Asian background,,No,No,Yes,Dissaprove,5,One,Bus,,Not sure,,,Yes,Reliability of getting home/school without worrying about going to top up,4,3,3,3,2,1,1,1,3,5,3,3,3,Central
Male,,17,Yes,Any other White background,,No,No,No,Dissaprove,5,More than three,Bus,,Yes,Train,,No,"It makes travelling a lot easier especially when we are trying to focus our time on studying and not working, Some people aren’t as privileged as others to have parents supporting them with everything and paying for travel would problematic especially when you don’t make your own money to support yourself",5,5,3,3,5,5,4,4,2,5,2,5,3,
Female,,16,Yes,Any other Mixed background,,No,Prefer not to say,Yes,Dissaprove,5,Three,Bus,,Yes,Walk,,Yes,Important useful,5,5,4,2,3,3,1,1,4,1,1,4,4,Parks cinema
Female,,16,Yes,Any other White background,,No,No,Yes,Dissaprove,5,Two,Bus,,Yes,Walk,,Yes,critical,4,4,4,5,5,5,3,3,4,4,4,1,5,central london
Male,,16,Yes,Asian or Asian British – Bangladeshi,,No,No,Yes,Approve,5,Two,Bus,,No,,,No,Opportunity,4,4,2,3,4,1,1,1,4,1,1,4,4,Quick journeys
Female,,16,Yes,Black or Black British - Black African,,No,No,No,Dissaprove,5,Two,Bus,,Yes,,Car,Not sure,The world is my oyster literally,5,3,3,2,4,3,1,1,3,1,3,3,4,Shopping centres
Female,,17,Yes,Black or Black British - Black African,,No,Prefer not to say,Yes,Dissaprove,5,Three,Train,,Yes,Cycle,,No,"I come from a not very rich family, so even with train fares now I cannot afford them and I am on a bursary at school.",5,2,5,1,5,4,2,3,4,4,2,3,4,Brighton - train to Blackfriars now would cost too much
Female,,17,Yes,,Black irish,No,No,Yes,Dissaprove,5,More than three,Bus,,Yes,Train,,Not sure,Free transport is important to me as I can independently travel across my city without fearing that I would have to walk long distances or even have to ask my parents to take me,5,5,1,1,5,5,1,1,1,1,1,1,1,Gyms
Female,,17,Yes,Black or Black British - Black African,,No,No,Yes,Dissaprove,5,Two,Bus,,Yes,Bus,,No,a passport to opportunities in london,5,5,1,1,5,5,1,3,4,3,1,1,4,friends houses
Female,,16,Yes,,Middle Eastern ,No,No,Yes,Dissaprove,5,Two,Bus,,Yes,Walk,,Not sure,The key to my future,5,5,1,2,3,4,1,1,3,4,1,1,3,Leisure centres
Female,,17,Yes,White British,,Yes,No,Yes,Dissaprove,5,Two,Bus,,Yes,Walk,,No,being able to get to college or places without having to worry about not affording travel,5,5,3,1,5,5,2,1,2,5,1,1,3,youth centres
Male,,16,Yes,White British,,Yes,No,Yes,Dissaprove,5,Two,Bus,,Yes,Walk,,Yes,my family can't afford to pay for travel and if i am forced to walk it would mean I am not going to get the college i need to go to,5,4,4,1,5,5,1,1,3,1,1,1,4,church
Female,,18,Yes,Asian or Asian British - Any other Asian background,,No,No,Yes,Dissaprove,5,One,Bus,,Yes,Walk,,Not sure,,5,5,1,2,5,4,2,1,2,3,1,3,5,
Female,,16,Yes,White British,,No,No,Yes,Dissaprove,5,Two,Bus,,Yes,Walk,,Yes,Free transport gives me the opportunity to have my full education and succeed in what I want to do.,4,5,2,2,4,5,2,1,3,2,1,2,2,Anywhere further than walking distance.
Female,,18,Yes,Black or Black British - Black African,,No,No,Yes,Dissaprove,5,One,Bus,,Yes,,Car ,Not sure,"Opportunities, Access",5,2,4,1,5,4,3,1,3,2,2,1,2,Work
Female,,16,Yes,Asian or Asian British – Pakistani,,No,No,Yes,Dissaprove,5,More than three,Bus,,Yes,,Cab,Yes,Everything,5,5,1,3,5,5,1,1,3,5,1,1,1,Hospital
Female,,16,Yes,Asian or Asian British – Indian,,No,Prefer not to say,Yes,Dissaprove,5,More than three,Tube,,Yes,Bus,,Yes,Getting to school on time and less financial struggle for my parents,2,5,1,1,5,5,2,1,2,4,3,3,1,My grandmas and aunties house because my parents cannot afford tfl for my whole family
Female,,17,Yes,Prefer Not to Say,,No,Yes,No,Dissaprove,5,More than three,Train,,Yes,Train,,Yes,Less money spent on travel,5,5,5,1,3,5,1,1,2,1,1,1,3,Work college
Female,,16,Yes,Black or Black British - Black African,,No,No,No,Dissaprove,5,Two,Bus,,Not sure,,,Yes,Only way to get around,5,5,1,1,5,3,1,1,2,2,2,2,2,Cinema
Female,,17,Yes,Any other White background,,No,No,Yes,Dissaprove,5,Two,Train,,Yes,Bus,,Yes,,5,5,1,2,4,5,2,4,4,5,2,2,3,Bars
Female,,16,Yes,White British,,No,Prefer not to say,Yes,Dissaprove,5,More than three,Bus,,Not sure,,,Yes,"Free transportation is the key to my education, mental health and is a main aspect of my life",5,4,3,3,5,5,1,1,2,1,1,1,1,"I would not visit any doctor, or medical health appointments because I would need to pay for transportation"
Female,,17,Yes,Asian or Asian British - Any other Asian background,,No,No,Yes,Dissaprove,5,Two,Train,,Yes,,Car,Yes,"Reduces stress, affordable, time managed",4,3,1,2,5,4,1,1,5,5,5,1,5,I don’t go out much anyways.
Female,,16,Yes,White British,,No,No,No,Dissaprove,5,Three,Bus,,Not sure,,,Yes,,4,4,1,4,4,3,1,1,3,2,4,1,4,
Non-binary/Third gender,,17,Yes,White British,,No,No,Yes,Dissaprove,5,One,Bus,,Yes,Walk,,No,"It allows children of all background to explore London, access opportunities, live simply and without stress. Travelling around London has defined my childhood",4,4,3,3,2,2,2,2,2,4,4,2,1,Gigs
Female,,17,Yes,Black or Black British – Black Caribbean,,No,No,Yes,Dissaprove,5,One,Train,,Yes,Bus,,No,,5,4,1,4,5,3,1,1,2,3,2,1,3,?
Female,,17,No,White British,,No,No,No,Dissaprove,5,One,Bus,,Yes,Cycle,,Yes,The only way of transport,5,4,3,2,3,4,1,1,2,2,2,2,2,Restaurants
Female,,17,Yes,Black or Black British - Black African,,No,No,Yes,Dissaprove,5,Three,Train,,Yes,Train,,No,Essential,3,5,1,2,5,5,2,2,2,2,2,1,3,Leisure
Male,,17,Yes,Any other White background,,No,No,Yes,Dissaprove,5,Three,Train,,Yes,Train,,Yes,"It means the power get to places I have to on time, in other words its possibility to get to places I can't by walking as its too far.",5,3,4,3,3,1,2,2,3,2,2,2,2,Extra curriculum activities
Female,,16,Yes,Mixed - White and Black Caribbean,,No,Yes,Yes,Dissaprove,5,Three,Bus,,Yes,Walk,,Yes,Young kids need free travel not everyone has enough money to pay for travel everyday,5,4,5,1,2,3,1,1,3,2,4,1,3,Friends
Male,,16,Yes,Asian or Asian British – Indian,,No,Yes,Yes,Dissaprove,5,One,Bus,,Not sure,,,Yes,It’s means I can travel anywhere and have Freedom to travel.,5,5,3,1,4,1,2,2,3,2,2,1,2,Libary
Female,,16,Yes,White British,,No,No,Yes,Dissaprove,5,One,Bus,,Not sure,,,Yes,extremely important,3,4,1,1,2,2,1,1,4,4,2,2,4,cinemas
Female,,16,Yes,Prefer Not to Say,,No,No,Yes,Dissaprove,5,Three,Bus,,Yes,Bus,,Yes,"I think this is very important because , we as teenagers can't really afford to pay for the transport by ourselves, especially when there's 2-3 buses or trains to take to a certaint location . I 've been using free travel for so long and it helped my mumbwith our financial state , so please do not change this , the fact that we have to pay for our trains makes it more than enough . Please take in consideration the fact that many parents dont have the financial possibilities to pay our travel to go to college / school and also come back home 5/7 a week . Take in consideration this message and I hope you will not change the free transport for 18 under . Thank you !",5,5,1,3,5,5,1,1,4,4,2,1,1,"Visiting new places and descovering London and the beautiful places around , as a teenager I really like to travel and I don't think I will do it as often if I know I will have to pay for my oyster card when I'm taking the bus . I will really struggle a lot , also going to college will be harder for me because i live far away from college ."
Female,,17,Yes,Black or Black British – Black Caribbean,,No,Yes,Yes,Dissaprove,5,Three,Train,,Yes,Bus,,Not sure,Necessity,5,4,1,3,3,3,1,1,2,3,3,1,1,Anywhere
Female,,16,Yes,Any other White background,,No,No,Yes,Dissaprove,5,One,Bus,,Yes,Walk,,Yes,Important,5,5,1,1,5,5,1,1,1,1,1,1,2,Everywhere
Female,,17,Yes,Black or Black British - Black African,,No,No,No,Dissaprove,5,Three,Bus,,Yes,Bus,,Yes,Beneficial,5,5,1,2,2,3,2,2,3,2,1,1,2,Family
Female,,17,Yes,Asian or Asian British - Any other Asian background,,No,No,Yes,Dissaprove,4,One,Cycle,,No,,,No,Freedom,5,1,4,2,5,4,1,1,2,5,2,2,2,Central London
Female,,17,Yes,Black or Black British – Black Caribbean,,No,No,Yes,Dissaprove,5,Two,Tube,,Yes,Cycle,,No,Imperative,4,3,5,2,4,1,1,1,4,5,4,5,5,Centre of London
Male,,17,Yes,Asian or Asian British – Bangladeshi,,No,No,Yes,Dissaprove,5,One,Bus,,Yes,Walk,,No,Stress-free,4,1,1,2,5,4,1,1,4,5,2,1,5,"School, shops"
Female,,17,Yes,Black or Black British - Black African,,No,No,Yes,Dissaprove,5,Three,Bus,,Yes,Walk,,No,It means being able to have the freedom to travel.,4,5,1,3,4,1,3,3,4,5,5,5,5,I would travel less to see my grandparents because of how far they live from me
Male,,17,Yes,Any other White background,,No,No,No,Dissaprove,5,Two,Tube,,No,,,No,Travel anywhere,5,3,1,4,1,1,2,2,4,4,3,4,5,N/A
Female,,16,Yes,White British,,No,Yes,Yes,Dissaprove,5,Two,Bus,,Yes,Train,,Yes,The freedom of movement to get around and to help other,5,4,2,1,5,4,1,1,2,1,1,1,4,Dentist and orthodontist appointments would be really hard to get to
Female,,17,Yes,Any other White background,,No,Prefer not to say,No,Dissaprove,5,Three,Bus,,Yes,Walk,,Yes,Good,5,5,3,1,1,2,1,1,3,1,1,1,1,College work
Female,,17,Yes,Black or Black British - Any other Black background,,No,No,Yes,Dissaprove,5,Three,Bus,,Yes,Walk,,Yes,That I can use the bus in peace,5,5,1,3,3,5,3,3,5,5,1,1,1,Non of your business
Female,,16,Yes,Mixed - White and Black Caribbean,,No,No,No,Dissaprove,5,Two,Bus,,Yes,Train,,No,Blessing,5,3,1,4,3,2,1,1,4,4,3,1,4,
Female,,17,Yes,Asian or Asian British - Any other Asian background,,No,No,Yes,Dissaprove,5,Three,,Tram,Not sure,,,Yes,Free transport means not having to out strain on my parents as well as my own money. We already have to pay for train and school food and money is always a conversation for us. We’re able to afford living but there are many students that may not be able to do this.,4,5,1,2,5,5,2,2,3,4,1,1,2,Central London
Female,,16,Yes,Mixed - White and Asian,,No,No,Yes,Dissaprove,5,Two,Tube,,Yes,Tube,,Yes,"It gives me an opportunity to develop a future and without it, I can not achieve my desired goals",3,4,2,1,5,4,1,1,3,4,2,2,3,To my work which helps me have an income
Female,,17,Yes,Black or Black British – Black Caribbean,,No,No,Yes,Dissaprove,5,Three,Bus,,Not sure,,,Yes,"It wouldn’t put extra pressure on my parents having to find the money to pay for me and my younger siblings, as we have financial issues",3,4,2,2,5,5,1,1,2,3,3,1,2,College as I might not know how to pay for it
Female,,17,Yes,Asian or Asian British – Bangladeshi,,No,No,Yes,Dissaprove,5,Two,Bus,,Yes,Walk,,Not sure,I don’t have to rely on my parents to pay for me to travel. Feel more restricted on if I should go out using transport because of the costs. Should I get a job now ?,4,3,1,2,3,3,1,1,3,4,3,1,3,Cinemas and shopping with friends as I feel like I have to only go to one place else I would spend too much money if I went to multiple places
Female,,17,Yes,Mixed - White and Black Caribbean,,No,Yes,No,Dissaprove,5,Three,Bus,,Yes,Cycle,,Yes,It’s very important to me because at this current moment in time I can afford it,5,4,5,2,5,3,1,1,2,5,1,2,3,School
Female,,17,Yes,Black or Black British - Black African,,No,No,Yes,Dissaprove,5,Two,Bus,,Yes,Walk,,No,It gives me the independence I need to get where I need to be without stressing out my parents or their wallets,5,4,1,2,4,3,2,2,2,4,2,5,5,none
Female,,16,Yes,Black or Black British - Any other Black background,,No,Yes,Yes,Dissaprove,5,Two,Bus,,Yes,Bus,,Not sure,"Coming from a big family free transport is very important and very helpful for my mother as she can’t drive us all to school, also it’s cheaper for my family and I.",3,5,1,1,5,1,2,1,4,4,3,4,5,Shopping malls
Female,,16,Yes,Any other Mixed background,,No,No,Yes,Dissaprove,5,One,Bus,,Yes,Walk,,Yes,,3,5,1,1,5,5,1,1,1,1,1,1,1,
Female,,18,Yes,Asian or Asian British – Indian,,No,No,Yes,Dissaprove,5,One,Bus,,Yes,Walk,,Yes,Opportunity,5,5,3,2,4,3,1,1,3,5,4,3,3,Movie theatres
Female,,17,Yes,Black or Black British – Black Caribbean,,No,No,Yes,Dissaprove,4,More than three,Bus,,Yes,Bus,,Not sure,With free travel I’m able to explore more.,4,4,3,3,2,3,3,3,2,4,2,1,5,Central london
Female,,16,Yes,Black or Black British - Black African,,No,No,No,Dissaprove,3,Three,Train,,Yes,Bus,,Not sure,Taking the best route without having to worry about price.,5,2,1,5,2,1,3,3,4,2,2,2,4,Shops that require transport and events.
Female,,16,Yes,Any other White background,,No,No,Yes,Dissaprove,5,Two,Bus,,Yes,Bus,,No,It means I will guaranteed be able to get to and from school if I have to pay sometimes I may not be sure if I have money on my card and I don’t always carry money on me,3,3,1,3,4,1,3,3,2,3,3,3,3,I don’t really go out much so I don’t really know
Female,,16,Yes,White British,,No,No,Yes,Dissaprove,5,Two,Train,,Yes,,Cab,Yes,"Important part of my life, for work and school",5,4,1,3,4,4,1,1,1,1,1,1,3,"Everywhere, work"
Male,,17,Yes,Asian or Asian British – Indian,,No,No,No,Dissaprove,5,More than three,Train,,Yes,,Not sure maybe having to rely on being dropped in however college is a 4 hour train journey for me or 2 hour drive ,Yes,"Independence, reliable, helpful",4,3,2,1,4,3,3,3,2,2,2,2,4,Learning facilities such as library’s and work
Female,,16,Yes,Asian or Asian British – Bangladeshi,,No,Prefer not to say,Yes,Dissaprove,5,Two,Walk,,Yes,Bus,,Yes,,5,5,1,3,5,2,1,1,4,3,2,1,4,Anywhere far
Female,,16,Yes,,South American,No,No,No,Dissaprove,5,Two,Bus,,Yes,Walk,,Not sure,means a lot,2,4,1,3,3,1,2,2,3,5,3,3,4,Cinema
Female,,17,Yes,Asian or Asian British - Any other Asian background,,No,No,Yes,Dissaprove,5,One,Bus,,Yes,Walk,,No,It’s important because I’m hella broke,3,5,2,2,4,2,1,1,3,3,2,1,3,Central London
Male,,17,Yes,Any other White background,,No,No,Yes,Dissaprove,5,More than three,Bus,,Yes,Walk,,Yes,Able to go to college without worries about money,5,5,1,1,5,5,1,1,3,1,1,1,2,"School, I wouldn’t go"
Female,,17,Yes,Black or Black British - Black African,,No,No,No,Dissaprove,5,Two,Train,,Yes,Bus,,Yes,Extremely important,1,3,4,2,1,3,5,5,4,5,5,5,3,School
Female,,17,Yes,Asian or Asian British – Indian,,No,No,Yes,Dissaprove,5,Two,Bus,,Yes,Walk,,No,Harder travel,5,5,2,5,4,5,1,1,2,2,2,2,4,Places in london
Female,,17,Yes,White British,,Prefer not to say,No,No,Dissaprove,5,Three,Bus,,No,,,Not sure,Not limits to travel,4,5,1,2,3,4,1,1,4,2,1,1,4,Restaurants
Female,,17,Yes,White British,,No,No,Yes,Dissaprove,4,One,Bus,,No,,,No,Less stress,4,3,2,1,5,3,3,2,2,4,2,3,4,Restaurants
Female,,16,Yes,Mixed - White and Asian,,No,No,Yes,Dissaprove,5,Two,Tube,,Yes,Tube,,Yes,It allows me to travel to and from school with ease and not having to worry about how I’m going to get there if I don’t have the money to do so,5,5,3,3,4,3,1,1,2,2,1,3,3,libraries
Female,,16,Yes,Asian or Asian British – Bangladeshi,,No,No,No,Dissaprove,5,One,Bus,,Yes,Walk,,Not sure,"Freedom, no financial worries, efficient, “life saver” to have free travel",5,5,2,1,5,5,1,1,1,1,1,1,1,Parks and youth clubs
Female,,17,Yes,White British,,No,No,Yes,Dissaprove,5,Two,Bus,,No,,,Yes,It helps me to get to school,3,4,1,2,4,2,2,2,4,5,2,4,4,My friends
Female,,17,Yes,Asian or Asian British - Any other Asian background,,No,No,Yes,Dissaprove,5,Three,Tube,,Yes,Tube,,No,Helpful,2,3,4,5,3,2,3,3,2,4,2,3,4,Outings with friends.
Female,,18,Yes,Black or Black British – Black Caribbean,,No,Yes,Yes,Dissaprove,5,More than three,Bus,,Yes,Walk,,No,,3,5,3,1,4,5,1,5,1,4,3,3,1,
Male,,17,Yes,Asian or Asian British – Bangladeshi,,No,No,Yes,Dissaprove,5,One,Bus,,Yes,Walk,,Yes,Being able to get to and from school safely without worrying about money.,5,5,1,1,5,5,1,1,2,1,1,1,2,Change my current school to a closer one and losing all my friends
Female,,18,Yes,Mixed - White and Black Caribbean,,No,No,No,Dissaprove,5,One,Bus,,Not sure,,,Not sure,A lot of young people are financially incapable of paying for travel. Free travel is essential,5,3,2,2,3,4,2,1,4,5,1,2,3,Everywhere
Female,,16,Yes,Black or Black British – Black Caribbean,,No,No,Yes,Dissaprove,5,Three,Bus,,Yes,Train,,Yes,Freedom maturity responsibility,5,4,1,1,5,1,2,2,3,3,1,2,3,Library’s would have to find a job closer to home
Female,,16,Yes,Asian or Asian British - Any other Asian background,,No,No,No,Dissaprove,5,Two,Bus,,Not sure,,,No,"Being able to use buses, trains, etc for free cost or at a very small cost.",2,1,1,4,2,3,4,4,5,2,4,1,5,"Central London, where I love to go often with my friends."
Female,,17,Yes,White British,,No,No,Yes,Dissaprove,5,Two,Train,,Yes,Bus,,Not sure,"Because my local borough does not have a very good selection of colleges, I travel into another one. By not having access to free travel, I would be forfeiting my access to a better level of education and thus my future chances of further education and getting into a good university.",4,4,2,4,2,4,2,2,2,3,2,5,5,I wouldn’t go into college for non compulsory sessions
Male,,18,Yes,Any other White background,,No,No,Yes,Approve,5,Three,Train,,Not sure,,,Not sure,Easier travel to and from uni also saves me hundreds of pounds,2,1,4,5,1,1,1,1,4,5,3,4,5,Going out to friends places or the go as it’s costs me about 15 pounds a train ticket to get to and from the gp
Female,,16,Yes,Asian or Asian British – Bangladeshi,,No,No,Yes,Dissaprove,5,Two,Bus,,Yes,Walk,,Yes,Important,5,5,1,3,3,3,1,1,4,1,1,1,2,Hospitals
Female,,17,No,Asian or Asian British - Any other Asian background,,No,No,No,Dissaprove,5,One,Walk,,Yes,,car,Yes,free transport removes one of the factors that might get in the way of someone’s education. not everyone gets to go to school without worrying about where money for transport will come from,5,5,2,1,4,4,1,1,2,1,2,1,3,"youth clubs, church"
Female,,16,Yes,Asian or Asian British – Bangladeshi,,No,Prefer not to say,Yes,Dissaprove,5,One,Bus,,Yes,Walk,,No,Convenient helpful needed,5,3,1,2,5,3,1,1,2,1,2,1,4,Days out
Female,,17,Yes,,Turkish Cypriot ,No,No,Yes,Dissaprove,5,Two,Bus,,No,,,Yes,Freedom,5,5,1,2,2,3,1,1,2,3,1,1,5,Central London
Prefer not to say,,16,Yes,Prefer Not to Say,,No,No,Yes,Dissaprove,5,Two,Bus,,Yes,Train,,Yes,Easier way to get to school and back without causing additional financial stress,5,5,1,2,5,5,1,1,1,1,1,1,2,
Male,,17,Yes,Black or Black British - Black African,,No,No,No,Dissaprove,5,Three,Train,,Yes,Cycle,,Yes,Without free transport it would be unsustainable for my family to afford my travel to my current Sixth Form and would impact my mental health as my ability to socially interact would be crippled,5,5,1,1,5,5,1,1,1,2,1,1,1,There aren’t many recreational activities in my area beyond the basic park. I would have nothing like a cinema within an hour’s journey of my home otherwise
Female,,16,Yes,White British,,No,Yes,Yes,Dissaprove,5,One,Bus,,Yes,Walk,,Yes,It allows me to get places sometimes I may not have money or my mum may not have enough money how am I getting to college or essential places,4,3,3,2,5,3,2,1,2,3,2,1,3,Not sure
Female,,17,Yes,White British,,No,Yes,Yes,Dissaprove,5,Two,Train,,Yes,,Mum drive,Yes,Alot,3,5,2,2,2,4,2,2,1,1,2,3,2,Work
Female,,17,Yes,White British,,No,Prefer not to say,No,Dissaprove,5,Two,Tube,,Not sure,,,No,accessibility to areas that I would not be able to access without transport I am able to explore and quickly zoom around London,5,4,2,4,2,4,4,4,1,2,2,4,3,everywhere
Male,,16,Yes,Asian or Asian British - Any other Asian background,,No,No,No,Dissaprove,5,One,Bus,,Yes,Bus,,No,"Everything, the whole point of free travel is to help people our age especially in now times commute rather",5,5,1,5,4,5,5,4,5,5,5,5,5,Outside my town
Female,,16,Yes,Asian or Asian British - Any other Asian background,,No,Prefer not to say,Yes,Dissaprove,5,One,Walk,,Not sure,,,No,it’s important to me bcos it’s a way for young people to get to places without worrying about expenses.,5,3,1,2,4,2,1,1,3,4,1,1,3,anywhere that isn’t local
Female,,16,Yes,Mixed - White and Black Caribbean,,No,No,No,Dissaprove,5,Two,Bus,,Yes,Bus,,Not sure,Free travel for people who do not have a job to earn there own money,5,2,1,3,5,3,1,1,3,4,3,1,3,College
Female,,17,Yes,Asian or Asian British - Any other Asian background,,No,No,No,Dissaprove,5,Two,Bus,,Yes,Walk,,Yes,Worth it,4,4,2,3,3,1,2,1,3,2,1,1,4,Central London (Friend’s Houses)
Male,,17,Yes,Black or Black British - Black African,,No,Yes,Yes,Dissaprove,5,Two,Bus,,Yes,Cycle,,Not sure,Beneficial,5,5,3,4,4,4,3,3,3,4,3,3,3,Gym
Female,,16,Yes,White British,,Yes,No,Yes,Dissaprove,5,Two,Bus,,Not sure,,,Not sure,Helpful,5,5,3,2,4,3,2,2,2,3,3,1,2,Air cadets
Male,,18,Yes,White British,,No,No,No,Dissaprove,5,Two,Bus,,Not sure,,,No,Free travel,5,1,4,2,4,1,2,2,2,2,2,2,2,Everywhere
Female,,16,Yes,Asian or Asian British – Indian,,No,No,Yes,Dissaprove,5,Two,Cycle,,Yes,Cycle,,Not sure,Freedom,5,3,4,2,4,3,2,2,3,4,2,3,4,
Female,,16,Yes,Asian or Asian British – Indian,,No,No,No,Dissaprove,5,Three,Bus,,Yes,Train,,Yes,Free travel gives me the flexibility to travel to my sixth form which is in Westminster from Wembley without the extra hassle of paying,5,5,1,2,5,3,1,1,4,3,3,1,4,Libraries
Female,,17,Yes,Mixed - White and Black Caribbean,,No,No,Yes,Don't know,2,Two,Bus,,No,,,Not sure,,4,1,1,5,1,1,1,1,2,4,2,3,2,
Female,,16,Yes,Mixed - White and Black Caribbean,,No,No,Yes,Dissaprove,5,Two,Bus,,Yes,Walk,,Yes,it means getting to college easier and quicker and not making my attendance drop,5,5,1,1,5,5,1,1,4,5,1,1,2,"college,family,friends"
Male,,16,Yes,Black or Black British - Black African,,No,Prefer not to say,Yes,Dissaprove,5,Three,Bus,,Yes,Bus,,Yes,If I have to pay for transportation that mean ibwill have to get a job to pay for my bus journeys because my mum is a single mum and can’t pay for all of my siblings bus journeys,3,5,1,5,5,5,3,3,4,4,5,5,5,Churches
Female,,17,Yes,Asian or Asian British – Bangladeshi,,No,No,Yes,Dissaprove,4,Two,Bus,,Yes,Bus,,Not sure,"A privilege !! So helpful to get me to school and home on time as well as out in general, without it I’m very limited",5,3,2,3,3,4,1,1,1,1,1,1,2,Most places other than college
Female,,16,Yes,Asian or Asian British – Bangladeshi,,No,Yes,Yes,Dissaprove,4,One,Bus,,Yes,Walk,,Yes,"It means that's when I have to go pick up medication for my parents I wont get drenched in the rain, I wont have to leave earlier to make it to school, I can get home safely with less of a fear of being robbed/harassed or assaulted when walking home in the dark. It means I have more freedom when I go out and can choose to go to a better 6th form without having to put more financial strain on my parents to ask them for travel money every week",4,4,2,3,4,3,1,1,3,3,3,3,3,A good 6th form
Female,,16,Yes,Black or Black British - Black African,,No,Prefer not to say,No,Dissaprove,5,Two,Bus,,No,,,Yes,Means I am able to go out and explore,5,5,3,1,5,3,1,1,2,2,2,1,2,Places
Male,,17,Yes,Prefer Not to Say,,Yes,No,No,Dissaprove,5,Two,Train,,Yes,Bus,,Yes,A way to travel around,5,5,5,5,5,5,5,5,5,5,5,5,5,Yes
Female,,17,Yes,Black or Black British - Any other Black background,,No,No,Yes,Dissaprove,5,Two,Bus,,No,,,Yes,Freedom,5,5,1,1,5,3,1,1,1,1,1,1,2,Library
Male,,18,Yes,Mixed - White and Asian,,No,No,Yes,Dissaprove,4,One,Train,,Not sure,,,No,Useful,5,3,3,3,3,1,2,1,3,2,2,3,3,
Female,,16,Yes,Black or Black British – Black Caribbean,,Yes,Yes,Yes,Dissaprove,5,Three,Bus,,Yes,Walk,,Yes,I have to have free travel or i won’t be able to go places that i go,3,5,3,1,5,5,1,1,4,3,3,1,3,
Male,,16,Yes,Any other Mixed background,,No,No,Yes,Dissaprove,5,One,Bus,,Yes,Walk,,No,freedom,5,3,2,1,5,3,1,1,3,4,1,2,3,theme parks are friends houses
Female,,16,Yes,Mixed - White and Black African,,No,Yes,Yes,Dissaprove,5,Three,Bus,,No,,,Yes,Generous advantage,4,1,1,3,5,5,1,1,3,3,1,1,4,Central london
Male,,16,Yes,Black or Black British – Black Caribbean,,No,Yes,No,Dissaprove,5,Two,Bus,,Yes,,Car,Yes,Everything,4,4,4,4,3,1,2,3,4,3,1,2,3,Restaurants
Female,,17,Yes,Any other White background,,No,No,Yes,Dissaprove,5,Three,Bus,,Yes,Bus,,No,Helpful,1,5,1,1,5,5,1,1,5,5,3,1,5,School
Male,,17,Yes,Any other Mixed background,,No,No,Yes,Dissaprove,5,Two,Bus,,Not sure,,,Yes,Very important,5,4,3,2,4,4,2,2,3,4,2,3,4,The city
Female,,17,Yes,Chinese,,No,No,Yes,Dissaprove,4,One,Walk,,No,,,No,"It’s a opens up so many opportunities: free lectures, seminars, workshops, don’t mean everything when you can’t get there",5,2,2,3,2,3,1,1,2,3,1,3,3,
Female,,16,Yes,Mixed - White and Asian,,No,No,Yes,Dissaprove,4,One,Walk,,Yes,Walk,,No,"It’s very useful as going to school and back using the bus is quicker and more convenient than walking, but if it changes I will have to be walking everyday.",3,5,2,4,2,1,4,1,5,5,4,4,5,Shopping centres outside my local area
Male,,16,Yes,,Latino ,No,No,No,Dissaprove,5,Two,Bus,,Yes,Walk,,Not sure,Free transport is necessary for us,4,3,4,4,4,3,1,1,2,3,1,3,1,Family
