What is your gender?,Other,How old are you?,Do you live in London?,How would you describe your ethnicity?,Other,Do you consider yourself to have a disability?,Are you a care experienced person?,Did you hear that the government is planning to cut free travel for under-18s in London?,Do you approve or disapprove the decision to cut free travel for under-18s in London?,How important is free transport in London for you?,How many buses / tubes / trams do you currently take to get to school or college?,How do you get to school or college?,Other,"If you have to pay for transport, will it change how you get to school or college?","If you have to pay for transport, how are you planning to get to school or college?",Other,"If you lose free travel, would this change the college or school you are considering attending?","Please describe what free transport means to you in a word, or words?","“If I lose free travel, I won’t travel out of my area as much unless I have to”","“If I lose free travel, I am worried getting to school/around London is less safe”","“If I lose free travel, I will cycle instead to the places I want to go”","“If I lose free travel, I can still afford to go to the places I want to go to”","“If I lose free travel, I am worried my parents will struggle to make ends meet”","“If I lose free travel, my mental health with suffer”",Museums ,Art galleries,Shopping centres,Parks and green spaces ,Areas outside your local borough or area,Sports clubs,Friends and family ,"Where else would you visit less than you do now, if you had to pay for travel?"
Male,,17,Yes,Mixed - White and Black Caribbean,,No,Yes,Yes,Dissaprove,4,Three,Train,,Yes,Bus,,Yes,I mean I will be able to get where I need to be without the stress oh,4,4,1,2,2,3,1,1,5,5,4,1,4,Football
Male,,17,Yes,Any other White background,,No,Prefer not to say,Yes,Dissaprove,5,One,Bus,,Yes,Walk,,No,freedom,5,3,1,2,5,1,1,1,3,4,1,1,4,motives
Male,,16,Yes,Any other Mixed background,,Yes,No,Yes,Dissaprove,5,Two,Bus,,Yes,Train,,Yes,Means of transportation,3,4,1,3,4,3,2,1,4,3,4,2,4,To stratford
Male,,18,Yes,Black or Black British - Black African,,No,No,No,Approve,5,One,Bus,,Yes,Walk,,Yes,It means using your bus pass for free without topping up,4,4,3,3,3,2,1,1,2,2,3,3,3,Work
Male,,17,Yes,Black or Black British - Black African,,No,No,Yes,Dissaprove,5,Two,Bus,,Yes,Cycle,,No,It’s very good to have free travel because not everyone can afford the bus so having a method of getting around busy london with a luxury of a free zip card is actually amazing,4,2,4,3,4,2,3,3,4,4,5,5,4,Sports facilities
Male,,18,Yes,Black or Black British – Black Caribbean,,No,No,No,Dissaprove,5,Two,Walk,,Yes,Walk,,Not sure,Free transport is very useful and makes life for young people without income simpler and more encouraging in terms of seeing the world and learning to travel independently,5,2,3,3,4,1,3,3,4,4,2,3,3,Anywhere more than 2-3 miles away
Male,,18,Yes,Asian or Asian British – Bangladeshi,,No,Yes,Yes,Dissaprove,5,Two,Bus,,Yes,Walk,,Yes,It means I can get to college on time and to go work,2,5,2,2,5,3,2,2,4,4,1,2,3,College and work
Male,,17,Yes,Prefer Not to Say,,Yes,Yes,No,Approve,5,More than three,Train,,Not sure,,,Yes,To go to school.,5,5,1,5,5,3,3,5,5,5,5,5,5,London eye
Male,,17,Yes,Asian or Asian British - Any other Asian background,,No,No,Yes,Dissaprove,5,Two,Bus,,Yes,Walk,,No,Everything,5,5,4,2,5,4,1,1,1,2,3,1,3,My friends house
Male,,17,Yes,Black or Black British - Black African,,No,No,Yes,Dissaprove,5,Two,Bus,,Yes,Bus,,Yes,It’s needed as i’m financially independent but don’t have enough money to spend on food and travel,5,5,1,2,3,1,1,1,5,5,5,1,3,steelband
Male,,16,Yes,Black or Black British - Black African,,No,Yes,Yes,Dissaprove,3,Two,Bus,,Yes,Bus,,No,"not complicated, easy and simple",5,3,1,4,2,1,1,1,3,5,1,3,4,"Shops, certain places"
Male,,16,Yes,White British,,No,Prefer not to say,Yes,Dissaprove,5,Two,Bus,,Yes,Cycle,,Yes,Having the ability of not being able to worry about getting somewhere and the cost but just focusing on going there.,5,5,5,1,5,3,1,1,1,5,5,1,5,Anywhere that is not accessible with Lime-E bike share scheme.
Male,,18,Yes,White British,,No,Prefer not to say,No,Dissaprove,5,One,Cycle,,Yes,Cycle,,No,Important,4,4,4,2,3,3,4,4,4,4,4,4,4,Family friends
Male,,16,Yes,,Sri Lankan ,No,No,No,Dissaprove,5,Two,Bus,,Yes,Walk,,Yes,Amazing,4,4,2,2,4,4,3,3,2,2,2,2,3,My parents work area
Female,,16,Yes,Asian or Asian British – Indian,,No,No,Yes,Dissaprove,5,Three,Bus,,Yes,Train,,Yes,Free transport is very important as I do not work so I will not be able to frequently top up my oyster just to go to college as the pay for a 16 year old is minimum wage 4.50 so all the money I will make in a week will be all put for my travel,5,5,3,1,2,3,1,1,1,3,1,3,3,
Male,,16,Yes,White British,,No,No,Yes,Dissaprove,4,Two,Bus,,Yes,Walk,,Not sure,It means that I get transportation via a bus or train to get to work or college and if it turns out to be having to be paid for it will make life hard as I don’t earn enough money for it.,4,3,4,3,5,5,2,2,3,3,2,2,3,Shopping centre
Male,,16,Yes,Black or Black British – Black Caribbean,,No,Yes,No,Dissaprove,5,Two,Bus,,Not sure,,,Not sure,Important,5,5,1,3,3,3,3,4,5,5,1,1,3,Shopping Centres
Male,,17,Yes,Black or Black British - Black African,,No,No,No,Dissaprove,5,One,Bus,,Yes,Cycle,,Yes,"Its very important, because it makes travelling a lot easier",3,4,5,2,4,4,5,5,5,5,1,1,1,My grandmother’s house
Male,,18,Yes,Asian or Asian British - Any other Asian background,,No,No,Yes,Dissaprove,5,Three,Bus,,Yes,Cycle,,Not sure,It helps my family out.,5,4,5,3,5,4,2,2,4,2,4,4,4,Going to cinemas
Male,,17,Yes,Mixed - White and Black Caribbean,,No,Yes,Yes,Dissaprove,5,One,Bus,,Yes,Walk,,Yes,Means I don't have to worry about money,5,3,1,1,4,2,2,2,2,5,3,1,4,College or work
Male,,17,Yes,Any other White background,,No,Yes,No,Don't know,5,Two,Bus,,Yes,Walk,,Yes,Convenient,3,4,1,3,4,3,4,3,4,5,5,3,5,church
Male,,16,Yes,Asian or Asian British – Indian,,No,Yes,Yes,Dissaprove,5,Two,Bus,,Yes,Bus,,Not sure,Free transportation means that I can arrive to school on time and not miss any valuable learning time,3,4,1,2,3,2,3,3,4,5,2,3,4,Leisure centres
Male,,17,Yes,White British,,No,No,No,Dissaprove,5,More than three,Train,,Yes,Cycle,,Yes,Critical,5,5,5,1,5,5,5,1,1,1,1,1,1,School
Male,,17,Yes,Black or Black British – Black Caribbean,,No,No,Yes,Dissaprove,5,Two,Bus,,Yes,Bus,,No,A lot because it’s gonna cost my family more,5,5,3,3,5,4,1,1,3,1,1,2,3,Supermarket
Male,,16,Yes,Asian or Asian British - Any other Asian background,,No,No,Yes,Dissaprove,5,One,Bus,,Yes,Bus,,Yes,I have the ability to go to a college I prefer instead of going to one just because it's right near me,4,3,4,3,4,1,3,3,2,2,3,2,2,Famous places
Male,,17,Yes,Any other Mixed background,,No,No,Yes,Dissaprove,5,Two,Bus,,Yes,Walk,,No,"Essential, useful, impactful",3,2,1,1,4,3,2,1,4,4,2,1,5,"Areas far from my home, across London"
Male,,18,Yes,Asian or Asian British – Pakistani,,No,No,Yes,Dissaprove,5,Two,Cycle,,Yes,Cycle,,Yes,A Reliable Backup Plan or Lifesaver,4,4,4,2,5,5,1,1,2,4,1,1,3,Beaches
Male,,16,Yes,Any other White background,,No,No,Yes,Dissaprove,5,Three,Bus,,Yes,Cycle,,Yes,Important,5,5,5,5,5,1,3,3,5,5,5,5,5,Work
Female,,16,Yes,Black or Black British - Black African,,No,No,Yes,Dissaprove,5,One,Bus,,Yes,Walk,,Yes,Very important,5,3,1,1,5,5,1,1,1,1,1,5,3,my 3 sisters in uni
Male,,16,Yes,Asian or Asian British – Indian,,No,Yes,Yes,Dissaprove,5,One,Bus,,No,,,No,Free transport,5,5,2,3,5,5,1,1,2,3,1,4,4,Shopping
Male,,16,Yes,White British,,Yes,Prefer not to say,No,Dissaprove,2,One,Bus,,Yes,Bus,,No,It makes things easier,3,5,1,1,5,5,3,3,3,3,3,3,3,Relatives Houses
Male,,17,Yes,Asian or Asian British – Bangladeshi,,No,No,Yes,Dissaprove,5,More than three,Bus,,Yes,Walk,,No,Essential,5,5,3,1,5,5,1,1,1,2,3,3,3,
Male,,18,Yes,Black or Black British – Black Caribbean,,No,No,Yes,Dissaprove,5,Two,Bus,,Yes,Bus,,Not sure,Free transport means I’m able to save up money for my university costs and allows me to explore London culture more,4,5,3,3,3,4,3,3,4,4,2,2,4,I’d visit libraries less
Male,,18,Yes,,Latino ,No,No,Yes,Dissaprove,5,Three,Bus,,Yes,,car,No,Im able to go to my destinations without worrying that I have money in my oyster,4,3,2,2,4,3,2,2,2,2,2,2,4,Central London
Male,,17,Yes,Any other White background,,No,No,No,Dissaprove,4,One,Bus,,Yes,Walk,,No,"Free transport means freedom, which is offered to us for free, as young adults who aren't the richest people on Earth.",5,4,5,3,1,1,4,1,5,5,1,2,5,Visit a family member in hospitals in central London
Female,,17,Yes,Asian or Asian British - Any other Asian background,,No,No,Yes,Dissaprove,5,Two,Train,,Not sure,,,Not sure,It means I can afford to go to school. It also means I can socialise and go out with my friends.,5,5,2,3,5,4,2,2,3,2,2,2,3,I would go to the supermarkets less
Male,,16,Yes,Black or Black British - Black African,,No,No,Yes,Dissaprove,5,Two,Bus,,Yes,Train,,Yes,Free transport means I can get to school without worrying g about extra fares and stuff,5,5,1,3,5,4,1,1,3,1,1,3,4,Studio football club basketball club
Male,,16,Yes,Any other Mixed background,,Yes,Prefer not to say,Yes,Dissaprove,5,Three,,"train, tube and walk",Yes,Cycle,,Not sure,I can get places without worrying how much I'm going to have to spend,2,4,2,1,5,3,1,1,2,4,3,4,3,
Female,,17,Yes,Any other White background,,No,No,Yes,Dissaprove,5,Two,Bus,,Yes,Walk,,Yes,Stops me from struggling financially,5,5,1,1,5,5,1,1,1,3,1,1,3,"Restaurants, leisure centres, university open days, work"
Female,,17,Yes,Black or Black British - Black African,,No,No,No,Dissaprove,5,One,Bus,,Yes,,i don’t know ,Yes,being able to access college,5,3,1,4,4,3,1,1,2,3,1,4,3,my sister’s house
Female,,16,Yes,,Indian ,No,No,Yes,Don't know,5,One,Bus,,Yes,Walk,,No,Ability to have more confidence and to get to know the word in a better way and enhance my ability of being confident in public,3,4,2,4,2,2,4,3,5,4,5,5,5,I would like to visit them parks
Male,,16,Yes,Asian or Asian British – Bangladeshi,,No,No,Yes,Dissaprove,5,Two,Bus,,Yes,Walk,,Yes,"It what allows me to act of my dreams to be successfully and take opportunity, coming from a poor household paying for transport is a bill I can't afford",5,5,3,1,5,3,3,3,4,5,5,5,5,"School, boxing gym , shopping centers, family"
Male,,16,Yes,White British,,No,Yes,No,Dissaprove,5,More than three,Bus,,Yes,Bus,,Not sure,A lot,3,4,4,4,4,3,3,3,5,4,5,4,5,Far
Male,,18,Yes,Asian or Asian British – Bangladeshi,,No,Yes,Yes,Dissaprove,5,Two,Bus,,Yes,Walk,,Yes,The future,2,5,2,2,3,1,4,4,5,5,5,4,5,The people I help out that in need like the elderly
Female,,17,Yes,Asian or Asian British - Any other Asian background,,No,No,Yes,Dissaprove,5,Three,Bus,,No,,,No,Important because It’s expensive and I would walk it if i could to go places but I can’t,2,3,2,2,5,5,1,1,1,3,1,1,2,Anywhere other than school
Female,,16,Yes,Any other White background,,No,Prefer not to say,Yes,Dissaprove,5,More than three,Bus,,Yes,Train,,Not sure,i can’t go college without it,5,4,3,2,5,3,1,1,2,3,1,1,3,food places
Female,,16,Yes,Black or Black British - Black African,,No,No,Yes,Dissaprove,5,More than three,Train,,Yes,Train,,Not sure,,4,4,1,3,5,4,2,2,4,4,4,4,4,
Male,,16,Yes,Asian or Asian British – Indian,,No,Yes,Yes,Dissaprove,5,One,Bus,,Yes,Cycle,,Yes,disadvantage,5,5,4,2,2,2,1,1,3,3,3,1,3,college
Female,,16,Yes,Black or Black British - Black African,,No,No,Yes,Dissaprove,5,One,Bus,,Yes,Walk,,No,it helps disadvantaged children to get to school,5,5,3,5,1,3,1,1,3,1,1,1,4,church
Male,,16,Yes,Asian or Asian British – Indian,,No,Yes,Yes,Dissaprove,5,One,Bus,,Yes,Walk,,Not sure,a disadvantage to me,5,5,4,2,3,4,1,1,3,3,3,2,2,college
Male,,16,Yes,Asian or Asian British - Any other Asian background,,No,Yes,No,Dissaprove,5,One,Bus,,Yes,Walk,,No,It means a lot because I use it a lot and it would be a pain to waste so much money on transport.,3,4,1,3,3,1,2,2,4,4,4,4,4,"Parks, sports centres, family and friend houses"
